campaign_id,ozon_sku,offer_id,internal_sku,campaign_group,campaign_state,current_bid_raw,current_bid_normalized,top_position,sku_based,note
32157891,1997079254,252442517,EVT-HC-HAND-300,EVETIS_CPC_CORE,RUNNING,12000000,12.0,NOT_APPLICABLE,yes,"стратегия «Средняя стоимость клика», bid = CPC; targetCir не применяется"
32157919,3892518031,593111986,EVT-HC-CHERRY-300,EVETIS_CPC_CORE,RUNNING,5000000,5.0,NOT_APPLICABLE,yes,"стратегия «Средняя стоимость клика», bid = CPC; targetCir не применяется"
32157947,1991772098,305101272,EVT-FS-MOIST-30,EVETIS_CPC_CORE,RUNNING,7000000,7.0,NOT_APPLICABLE,yes,"стратегия «Средняя стоимость клика», bid = CPC; targetCir не применяется"
32157965,2974977988,438775617,EVT-FC-ACNE-50,EVETIS_CPC_CORE,RUNNING,5000000,5.0,NOT_APPLICABLE,yes,"стратегия «Средняя стоимость клика», bid = CPC; targetCir не применяется"
32157988,3530427102,535581675,EVT-FT-ACNE-150,EVETIS_CPC_CORE,RUNNING,5000000,5.0,NOT_APPLICABLE,yes,"стратегия «Средняя стоимость клика», bid = CPC; targetCir не применяется"
32158008,3735674506,910584041,EVT-SET-TON-SER-CREAM-ACNE,EVETIS_CPC_CORE,RUNNING,7000000,7.0,NOT_APPLICABLE,yes,"стратегия «Средняя стоимость клика», bid = CPC; targetCir не применяется"
32158051,3733452761,868597351,EVT-SET-4PC-ACNE,EVETIS_CPC_CORE,RUNNING,8000000,8.0,NOT_APPLICABLE,yes,"стратегия «Средняя стоимость клика», bid = CPC; targetCir не применяется"
32158176,3543342130,535580776,EVT-EP-ENZYME-75,EVETIS_CPC_CORE,RUNNING,4000000,4.0,NOT_APPLICABLE,yes,"стратегия «Средняя стоимость клика», bid = CPC; targetCir не применяется"
32158299,3733947454,909951444,EVT-SET-ACNE-POWDER-SERUM-CREAM,EVETIS_CPC_CORE,INACTIVE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,yes,"стратегия «Целевой расход», targetCir=15% (целевой ДРР); bid не применяется"
33678192,3930712640,593111985,EVT-HC-AMBER-300,EVETIS_CPC_CORE,RUNNING,8000000,8.0,NOT_APPLICABLE,yes,"стратегия «Средняя стоимость клика», bid = CPC; targetCir не применяется"
33678220,3892223191,930334397,EVT-SET-CHERRY-AMBER,EVETIS_CPC_CORE,INACTIVE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,yes,"стратегия «Целевой расход», targetCir=15% (целевой ДРР); bid не применяется"
33678220,3892345516,930334395,EVT-SET-HAND-CHERRY,EVETIS_CPC_CORE,INACTIVE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,yes,"стратегия «Целевой расход», targetCir=15% (целевой ДРР); bid не применяется"
33678220,3892410843,930334396,EVT-SET-HAND-AMBER,EVETIS_CPC_CORE,INACTIVE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,yes,"стратегия «Целевой расход», targetCir=15% (целевой ДРР); bid не применяется"
33678261,3732641694,567668635,EVT-SET-SER-CREAM-ACNE,EVETIS_CPC_CORE,INACTIVE,4000000,4.0,NOT_APPLICABLE,yes,"стратегия «Средняя стоимость клика», bid = CPC; targetCir не применяется"
33678288,3528293526,535581674,EVT-FT-MOIST-150,EVETIS_CPC_CORE,RUNNING,5000000,5.0,NOT_APPLICABLE,yes,"стратегия «Средняя стоимость клика», bid = CPC; targetCir не применяется"
33678331,3735183318,910330849,EVT-SET-MOIST-TONIC-SERUM,EVETIS_CPC_CORE,INACTIVE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,yes,"стратегия «Целевой расход», targetCir=15% (целевой ДРР); bid не применяется"
33678331,4843362212,1083392113,EVT-SET-ACNE-TONIC-SERUM,EVETIS_CPC_CORE,INACTIVE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,yes,"стратегия «Целевой расход», targetCir=15% (целевой ДРР); bid не применяется"
33703975,1994674912,305101361,EVT-FS-ACNE-30,EVETIS_CPC_CORE,RUNNING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,yes,"стратегия «Целевой расход», targetCir=30% (целевой ДРР); bid не применяется"
22622305,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OTHER,FINISHED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
24086250,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OTHER,INACTIVE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,no,не SKU-based; product endpoint отвечает 400 «Кампания не найдена»
